t (s)	q (C)
0.000000E+00	2.903921E-23
1.000000E-20	5.714033E-23
2.000000E-20	8.433101E-23
3.000000E-20	1.106381E-22
4.000000E-20	1.360877E-22
5.000000E-20	1.607052E-22
6.000000E-20	1.845152E-22
7.000000E-20	2.075415E-22
8.000000E-20	2.298074E-22
9.000000E-20	2.513354E-22
1.000000E-19	2.721475E-22
1.100000E-19	2.922648E-22
1.200000E-19	3.117081E-22
1.300000E-19	3.304975E-22
1.400000E-19	3.486523E-22
1.500000E-19	3.661915E-22
1.600000E-19	3.831334E-22
1.700000E-19	3.994960E-22
1.800000E-19	4.152966E-22
1.900000E-19	4.305519E-22
2.000000E-19	4.452783E-22
2.100000E-19	4.594916E-22
2.200000E-19	4.732074E-22
2.300000E-19	4.864405E-22
2.400000E-19	4.992055E-22
2.500000E-19	5.115164E-22
2.600000E-19	5.233870E-22
2.700000E-19	5.348306E-22
2.800000E-19	5.458601E-22
2.900000E-19	5.564880E-22
3.000000E-19	5.667265E-22
3.100000E-19	5.765875E-22
3.200000E-19	5.860824E-22
3.300000E-19	5.952223E-22
3.400000E-19	6.040181E-22
3.500000E-19	6.124803E-22
3.600000E-19	6.206191E-22
3.700000E-19	6.284444E-22
3.800000E-19	6.359658E-22
3.900000E-19	6.431927E-22
4.000000E-19	6.501341E-22
4.100000E-19	6.567988E-22
4.200000E-19	6.631954E-22
4.300000E-19	6.693322E-22
4.400000E-19	6.752171E-22
4.500000E-19	6.808581E-22
4.600000E-19	6.862627E-22
4.700000E-19	6.914383E-22
4.800000E-19	6.963920E-22
4.900000E-19	7.011308E-22
5.000000E-19	7.056615E-22
5.100000E-19	7.099905E-22
5.200000E-19	7.141242E-22
5.300000E-19	7.180688E-22
5.400000E-19	7.218302E-22
5.500000E-19	7.254143E-22
5.600000E-19	7.288268E-22
5.700000E-19	7.320730E-22
5.800000E-19	7.351583E-22
5.900000E-19	7.380878E-22
6.000000E-19	7.408666E-22
6.100000E-19	7.434994E-22
6.200000E-19	7.459911E-22
6.300000E-19	7.483462E-22
6.400000E-19	7.505691E-22
6.500000E-19	7.526641E-22
6.600000E-19	7.546354E-22
6.700000E-19	7.564871E-22
6.800000E-19	7.582231E-22
6.900000E-19	7.598472E-22
7.000000E-19	7.613632E-22
7.100000E-19	7.627746E-22
7.200000E-19	7.640849E-22
7.300000E-19	7.652975E-22
7.400000E-19	7.664156E-22
7.500000E-19	7.674426E-22
7.600000E-19	7.683814E-22
7.700000E-19	7.692351E-22
7.800000E-19	7.700066E-22
7.900000E-19	7.706986E-22
8.000000E-19	7.713140E-22
8.100000E-19	7.718555E-22
8.200000E-19	7.723254E-22
8.300000E-19	7.727265E-22
8.400000E-19	7.730611E-22
8.500000E-19	7.733315E-22
8.600000E-19	7.735401E-22
8.700000E-19	7.736890E-22
8.800000E-19	7.737804E-22
8.900000E-19	7.738164E-22
9.000000E-19	7.737991E-22
9.100000E-19	7.737302E-22
9.200000E-19	7.736119E-22
9.300000E-19	7.734458E-22
9.400000E-19	7.732338E-22
9.500000E-19	7.729776E-22
9.600000E-19	7.726790E-22
9.700000E-19	7.723394E-22
