t (s)	q (C)
0	2.90401051193e-23
1e-20	5.71418997971e-23
2e-20	8.43330392538e-23
2.9999999999999997e-20	1.1064038449e-22
4e-20	1.360900248e-22
5e-20	1.60707299658e-22
5.999999999999999e-20	1.84516819993e-22
6.999999999999999e-20	2.07542488868e-22
7.999999999999998e-20	2.29807521581e-22
8.999999999999998e-20	2.51334465208e-22
9.999999999999997e-20	2.7214521759e-22
1.0999999999999997e-19	2.92261045797e-22
1.1999999999999996e-19	3.11702604069e-22
1.2999999999999996e-19	3.30489951254e-22
1.3999999999999995e-19	3.48642567759e-22
1.4999999999999995e-19	3.66179372022e-22
1.5999999999999994e-19	3.8311873652e-22
1.6999999999999994e-19	3.99478503332e-22
1.7999999999999993e-19	4.15275999259e-22
1.8999999999999993e-19	4.30528050522e-22
1.9999999999999992e-19	4.45250997037e-22
2.0999999999999992e-19	4.59460706302e-22
2.1999999999999994e-19	4.73172586881e-22
2.2999999999999993e-19	4.86401601509e-22
2.3999999999999993e-19	4.99162279832e-22
2.499999999999999e-19	5.11468730782e-22
2.599999999999999e-19	5.23334654602e-22
2.699999999999999e-19	5.34773354539e-22
2.799999999999999e-19	5.4579774819e-22
2.899999999999999e-19	5.56420378547e-22
2.999999999999999e-19	5.66653424712e-22
3.099999999999999e-19	5.76508712316e-22
3.199999999999999e-19	5.85997723645e-22
3.299999999999999e-19	5.95131607473e-22
3.399999999999999e-19	6.03921188617e-22
3.4999999999999987e-19	6.12376977226e-22
3.5999999999999987e-19	6.205091778e-22
3.6999999999999986e-19	6.28327697957e-22
3.7999999999999986e-19	6.35842156945e-22
3.8999999999999985e-19	6.43061893922e-22
3.9999999999999985e-19	6.49995975989e-22
4.0999999999999984e-19	6.56653206004e-22
4.1999999999999984e-19	6.63042130166e-22
4.2999999999999983e-19	6.69171045389e-22
4.399999999999999e-19	6.75048006462e-22
4.499999999999999e-19	6.80680833009e-22
4.6e-19	6.86077116242e-22
4.7e-19	6.91244225535e-22
4.8e-19	6.96189314797e-22
4.900000000000001e-19	7.00919328673e-22
5.000000000000001e-19	7.05441008559e-22
5.100000000000002e-19	7.09760898457e-22
5.200000000000002e-19	7.13885350651e-22
5.300000000000003e-19	7.17820531228e-22
5.400000000000003e-19	7.21572425439e-22
5.500000000000003e-19	7.25146842904e-22
5.600000000000004e-19	7.28549422678e-22
5.700000000000004e-19	7.31785638158e-22
5.800000000000005e-19	7.3486080186e-22
5.900000000000005e-19	7.37780070056e-22
6.000000000000006e-19	7.40548447278e-22
6.100000000000006e-19	7.43170790695e-22
6.2000000000000065e-19	7.4565181436e-22
6.300000000000007e-19	7.47996093341e-22
6.400000000000007e-19	7.50208067731e-22
6.500000000000008e-19	7.52292046541e-22
6.600000000000008e-19	7.54252211488e-22
6.700000000000009e-19	7.56092620664e-22
6.800000000000009e-19	7.57817212111e-22
6.9000000000000095e-19	7.59429807287e-22
7.00000000000001e-19	7.60934114432e-22
7.10000000000001e-19	7.62333731841e-22
7.200000000000011e-19	7.63632151042e-22
7.300000000000011e-19	7.6483275988e-22
7.400000000000012e-19	7.65938845517e-22
7.500000000000012e-19	7.66953597343e-22
7.600000000000013e-19	7.67880109801e-22
7.700000000000013e-19	7.6872138514e-22
7.800000000000013e-19	7.69480336075e-22
7.900000000000014e-19	7.70159788387e-22
8.000000000000014e-19	7.7076248343e-22
8.100000000000015e-19	7.71291080583e-22
8.200000000000015e-19	7.71748159624e-22
8.300000000000016e-19	7.72136223028e-22
8.400000000000016e-19	7.72457698218e-22
8.500000000000016e-19	7.7271493973e-22
8.600000000000017e-19	7.72910231332e-22
8.700000000000017e-19	7.73045788075e-22
8.800000000000017e-19	7.73123758282e-22
8.900000000000016e-19	7.7314622549e-22
9.000000000000016e-19	7.73115210324e-22
9.100000000000015e-19	7.73032672325e-22
9.200000000000015e-19	7.72900511725e-22
9.300000000000014e-19	7.72720571166e-22
9.400000000000014e-19	7.72494637376e-22
9.500000000000013e-19	7.72224442789e-22
9.600000000000012e-19	7.71911667129e-22
9.700000000000012e-19	7.71557938935e-22
9.800000000000011e-19	7.71164837057e-22
9.90000000000001e-19	7.70733892093e-22
1.000000000000001e-18	7.70266587799e-22
1.010000000000001e-18	7.69764362451e-22
1.020000000000001e-18	7.69228610168e-22
1.0300000000000009e-18	7.68660682196e-22
1.0400000000000008e-18	7.68061888162e-22
1.0500000000000008e-18	7.6743349728e-22
1.0600000000000007e-18	7.66776739536e-22
1.0700000000000007e-18	7.66092806827e-22
1.0800000000000006e-18	7.65382854074e-22
1.0900000000000006e-18	7.646480003e-22
1.1000000000000005e-18	7.63889329679e-22
1.1100000000000004e-18	7.63107892552e-22
1.1200000000000004e-18	7.62304706418e-22
1.1300000000000003e-18	7.6148075689e-22
1.1400000000000003e-18	7.60636998632e-22
1.1500000000000002e-18	7.5977435626e-22
1.1600000000000002e-18	7.58893725223e-22
1.1700000000000001e-18	7.57995972657e-22
1.18e-18	7.57081938214e-22
1.19e-18	7.56152434865e-22
1.2e-18	7.55208249689e-22
1.21e-18	7.54250144623e-22
1.2199999999999999e-18	7.53278857207e-22
1.2299999999999998e-18	7.52295101297e-22
1.2399999999999998e-18	7.51299567762e-22
1.2499999999999997e-18	7.50292925157e-22
1.2599999999999997e-18	7.49275820383e-22
1.2699999999999996e-18	7.48248879323e-22
1.2799999999999995e-18	7.47212707457e-22
1.2899999999999995e-18	7.46167890468e-22
1.2999999999999994e-18	7.45114994824e-22
1.3099999999999994e-18	7.44054568344e-22
1.3199999999999993e-18	7.42987140747e-22
1.3299999999999993e-18	7.41913224189e-22
1.3399999999999992e-18	7.40833313783e-22
1.3499999999999992e-18	7.397478881e-22
1.3599999999999991e-18	7.38657409658e-22
1.369999999999999e-18	7.37562325403e-22
1.379999999999999e-18	7.36463067164e-22
1.389999999999999e-18	7.35360052105e-22
1.399999999999999e-18	7.34253683159e-22
